,bathroomcnt,bedroomcnt,taxvaluedollarcnt,taxamount,calculatedfinishedsquarefeet,yearbuilt,fips
60,1.0,2.0,72867.0,823.25,1121.0,1940.0,6037.0
61,1.0,2.0,214354.0,2877.86,847.0,1938.0,6037.0
62,2.0,4.0,465990.0,5387.9,1266.0,1961.0,6059.0
63,1.0,2.0,141693.0,1862.11,1070.0,1937.0,6037.0
64,1.5,3.0,265259.0,3084.94,1360.0,1971.0,6059.0
65,2.0,2.0,144688.0,1874.26,1810.0,1956.0,6037.0
66,2.0,3.0,199420.0,2439.72,1244.0,1954.0,6037.0
67,3.0,5.0,541129.0,5865.88,2468.0,1966.0,6059.0
68,2.5,3.0,1441252.0,15474.04,3011.0,1973.0,6059.0
69,3.0,3.0,1070352.0,12873.95,2581.0,1939.0,6037.0
70,2.5,3.0,553311.0,5619.36,1270.0,1973.0,6059.0
71,3.0,3.0,633122.0,7510.5,2007.0,1963.0,6059.0
72,1.0,3.0,234319.0,2954.12,1040.0,1923.0,6037.0
73,1.0,3.0,37210.0,1092.39,968.0,1951.0,6037.0
74,2.0,3.0,73745.0,1353.42,1731.0,1963.0,6059.0
75,2.0,4.0,313973.0,3771.54,1623.0,1929.0,6059.0
76,3.0,3.0,700000.0,8721.26,3172.0,1966.0,6037.0
77,1.0,3.0,52764.0,904.65,1206.0,1954.0,6037.0
78,2.0,3.0,56059.0,893.42,1560.0,1950.0,6059.0
79,3.0,4.0,145452.0,2397.79,1908.0,2006.0,6037.0
80,2.0,5.0,635000.0,7736.4,1901.0,1950.0,6037.0
81,2.0,3.0,288193.0,3468.2,1384.0,1955.0,6059.0
82,2.0,4.0,289996.0,3704.28,1482.0,1972.0,6059.0
83,2.5,4.0,206365.0,2795.12,1658.0,1974.0,6059.0
84,1.0,2.0,13817.0,419.86,480.0,1926.0,6059.0
85,2.0,3.0,315672.0,3619.3,1441.0,1955.0,6059.0
86,2.0,3.0,282233.0,4010.58,1270.0,1985.0,6037.0
87,2.0,4.0,420525.0,4557.52,1392.0,1969.0,6111.0
88,1.0,1.0,86152.0,1305.58,455.0,1922.0,6059.0
89,3.0,5.0,1294418.0,15704.91,3245.0,1988.0,6037.0
90,2.0,3.0,77571.0,1450.06,1270.0,1957.0,6111.0
91,2.0,2.0,132508.0,2310.56,1353.0,1956.0,6037.0
92,3.0,4.0,387648.0,4139.18,2342.0,1978.0,6111.0
93,3.0,5.0,705590.0,7953.14,2468.0,1965.0,6059.0
94,4.5,5.0,502035.0,5335.62,3543.0,1996.0,6059.0
95,3.0,4.0,1279125.0,15508.64,3107.0,1957.0,6037.0
96,1.0,3.0,192008.0,3017.49,1295.0,1940.0,6037.0
97,2.0,3.0,84218.0,1078.3,1440.0,1956.0,6037.0
98,2.0,3.0,631600.0,7317.86,1632.0,1960.0,6037.0
99,3.0,4.0,128871.0,1708.9,2521.0,1971.0,6037.0
100,2.0,3.0,206909.0,2409.36,1346.0,1965.0,6111.0
101,3.0,4.0,521000.0,6942.22,2088.0,1975.0,6037.0
102,2.0,4.0,419295.0,5244.97,1966.0,1960.0,6037.0
103,3.0,3.0,789179.0,10035.88,2728.0,1987.0,6111.0
104,2.0,3.0,82798.0,1179.62,1499.0,1947.0,6037.0
105,2.0,4.0,249614.0,3136.84,1570.0,1958.0,6037.0
106,3.0,4.0,333437.0,3382.26,2880.0,1966.0,6059.0
107,1.0,3.0,60632.0,771.77,1080.0,1948.0,6037.0
108,6.0,3.0,2157425.0,26237.34,4664.0,1936.0,6037.0
109,3.0,4.0,524802.0,6315.22,3304.0,1989.0,6111.0
110,2.0,3.0,404643.0,5133.61,1929.0,1988.0,6037.0
111,2.0,2.0,439797.0,4470.66,2294.0,1985.0,6059.0
112,2.0,4.0,884199.0,10606.78,1809.0,1929.0,6037.0
113,3.0,4.0,579800.0,10207.09,3215.0,2004.0,6037.0
114,2.0,3.0,515000.0,6618.75,1558.0,1984.0,6037.0
115,2.0,3.0,385911.0,4724.2,1938.0,1971.0,6059.0
116,3.0,3.0,892864.0,8984.56,3136.0,1990.0,6059.0
117,1.0,3.0,78015.0,1298.59,1306.0,1930.0,6037.0
118,1.0,2.0,312262.0,3920.73,1502.0,1935.0,6037.0
119,2.0,4.0,639607.0,7377.86,2016.0,1969.0,6059.0
120,3.0,3.0,303621.0,3726.03,2960.0,1966.0,6037.0
121,3.0,4.0,622298.0,7150.06,2379.0,1977.0,6059.0
122,2.0,3.0,516832.0,6187.76,1363.0,1912.0,6037.0
123,3.0,7.0,366160.0,4866.25,2985.0,1959.0,6037.0
124,0.0,0.0,830145.0,9354.84,,,6059.0
125,2.0,3.0,176344.0,2550.57,1633.0,1951.0,6037.0
126,4.0,5.0,2249017.0,25190.08,4436.0,1984.0,6059.0
127,2.5,3.0,1794000.0,19102.86,2134.0,1995.0,6059.0
128,3.5,3.0,1185538.0,13170.2,3790.0,1978.0,6059.0
129,2.0,4.0,1590506.0,17040.54,1620.0,1934.0,6059.0
130,2.0,2.0,585000.0,7025.24,919.0,1994.0,6059.0
131,2.0,3.0,155328.0,2632.76,1471.0,1969.0,6037.0
132,5.0,4.0,1038000.0,13422.89,3912.0,2001.0,6037.0
133,2.5,3.0,388000.0,4618.34,1604.0,1981.0,6059.0
134,3.0,4.0,419999.0,5117.98,2605.0,1950.0,6059.0
135,1.0,3.0,61999.0,1623.55,1076.0,1955.0,6037.0
136,2.0,3.0,169687.0,2127.6,1390.0,1969.0,6059.0
137,3.0,4.0,77610.0,991.07,1682.0,1947.0,6037.0
138,5.5,6.0,524638.0,6217.76,2837.0,2008.0,6059.0
139,2.5,4.0,398434.0,4108.18,2419.0,1978.0,6059.0
140,4.0,5.0,766451.0,9291.18,2834.0,1996.0,6059.0
141,3.5,3.0,947513.0,17012.62,3227.0,2007.0,6059.0
142,1.5,3.0,423359.0,5021.2,1153.0,1954.0,6059.0
143,1.5,3.0,200356.0,2522.24,1180.0,1973.0,6059.0
144,4.0,6.0,799634.0,10794.22,3733.0,1999.0,6059.0
145,1.0,3.0,61124.0,1345.64,1214.0,1949.0,6037.0
146,2.0,3.0,116226.0,1798.68,1576.0,1958.0,6059.0
147,2.0,3.0,239875.0,3169.92,1357.0,1959.0,6059.0
148,1.0,2.0,279193.0,3153.44,688.0,1927.0,6111.0
149,2.0,3.0,342300.0,4263.48,1568.0,1920.0,6037.0
150,2.5,3.0,632193.0,7142.36,1913.0,1978.0,6059.0
151,4.0,3.0,757578.0,8953.57,2074.0,1931.0,6037.0
152,2.0,3.0,808662.0,10806.79,1666.0,1938.0,6037.0
153,3.0,4.0,137933.0,2666.02,1737.0,1987.0,6037.0
154,2.5,3.0,438991.0,5046.5,2022.0,1998.0,6059.0
155,4.5,5.0,891736.0,9973.14,3567.0,1995.0,6059.0
156,2.0,3.0,72166.0,1268.29,1495.0,1965.0,6037.0
157,1.0,3.0,96224.0,1216.03,1720.0,1946.0,6037.0
158,1.0,3.0,234051.0,4476.84,1103.0,1947.0,6037.0
159,3.0,4.0,231896.0,4530.88,2208.0,1998.0,6037.0
160,2.0,3.0,92344.0,1531.02,1590.0,1962.0,6059.0
161,2.5,4.0,344422.0,3635.06,1866.0,1995.0,6111.0
162,2.5,4.0,736753.0,8006.42,2303.0,1964.0,6059.0
163,1.0,3.0,244680.0,3557.49,1084.0,1953.0,6037.0
164,1.5,2.0,394456.0,4686.02,1162.0,1972.0,6059.0
165,2.0,3.0,289965.0,3411.58,1369.0,1954.0,6059.0
166,2.5,3.0,292122.0,3536.26,1766.0,1981.0,6059.0
167,2.5,3.0,461107.0,5254.16,2228.0,1950.0,6111.0
168,3.0,4.0,1452674.0,14914.64,3309.0,1989.0,6059.0
169,2.0,3.0,395024.0,4766.66,1635.0,1963.0,6059.0
170,6.0,6.0,2010195.0,22708.18,3659.0,1950.0,6037.0
171,2.0,4.0,395808.0,4933.16,1303.0,1960.0,6037.0
172,2.0,3.0,98489.0,1211.96,1479.0,1977.0,6111.0
173,1.0,2.0,271911.0,3372.75,984.0,1948.0,6037.0
174,3.0,6.0,136310.0,1847.28,1875.0,1958.0,6059.0
175,1.0,2.0,544000.0,6606.57,867.0,1939.0,6037.0
176,1.0,2.0,227111.0,2841.43,930.0,1902.0,6037.0
177,5.0,2.0,677957.0,8370.78,2322.0,1987.0,6059.0
178,3.0,4.0,1201278.0,13740.95,2952.0,1941.0,6037.0
179,4.0,5.0,889200.0,10329.89,3577.0,1952.0,6037.0
180,2.0,3.0,208389.0,3422.28,1883.0,2001.0,6037.0
181,1.0,2.0,292207.0,3652.06,660.0,1912.0,6037.0
182,2.0,3.0,382723.0,5059.92,1185.0,1956.0,6111.0
183,1.5,3.0,487320.0,5194.18,1181.0,1953.0,6111.0
184,2.0,4.0,152505.0,3073.46,2024.0,1990.0,6037.0
185,2.0,3.0,363636.0,4457.36,1208.0,1953.0,6037.0
186,2.5,4.0,748968.0,7526.84,2357.0,1995.0,6059.0
187,3.0,3.0,246800.0,4012.74,2202.0,1990.0,6037.0
188,6.0,5.0,1531397.0,19653.1,5147.0,2003.0,6037.0
189,2.0,3.0,461938.0,5254.7,1219.0,1960.0,6059.0
190,2.0,2.0,403729.0,4851.53,1192.0,1950.0,6037.0
191,1.0,2.0,283252.0,2873.74,848.0,1996.0,6059.0
192,2.0,3.0,610813.0,6608.94,1414.0,1970.0,6111.0
193,2.0,2.0,148381.0,1895.58,1099.0,1949.0,6059.0
194,2.5,3.0,530000.0,6011.78,1800.0,1978.0,6059.0
195,2.0,4.0,363100.0,5018.04,1410.0,1964.0,6037.0
196,2.0,3.0,887658.0,10232.1,1794.0,1957.0,6037.0
197,2.0,3.0,99300.0,1959.82,1240.0,1956.0,6037.0
198,2.0,4.0,567000.0,6205.6,1424.0,1962.0,6059.0
199,2.0,3.0,365635.0,5124.75,1994.0,1985.0,6037.0
200,2.0,3.0,194716.0,2405.15,1420.0,1930.0,6037.0
201,2.0,3.0,566000.0,5916.02,1224.0,1972.0,6059.0
202,3.0,4.0,330191.0,3420.94,2918.0,1967.0,6059.0
203,2.0,3.0,457701.0,5627.39,1248.0,1922.0,6037.0
204,4.5,5.0,833555.0,13730.58,4331.0,2002.0,6059.0
205,3.0,4.0,539007.0,6447.66,1978.0,2006.0,6111.0
206,2.0,3.0,431481.0,5303.28,1252.0,1957.0,6059.0
207,2.0,3.0,47377.0,1004.78,1440.0,1961.0,6037.0
208,1.0,3.0,386728.0,5003.53,955.0,1953.0,6037.0
209,3.0,3.0,1065000.0,11455.28,3080.0,1989.0,6111.0
210,3.0,1.0,1664376.0,19508.3,1619.0,1949.0,6037.0
211,2.0,4.0,353811.0,3922.36,1859.0,1979.0,6111.0
212,2.0,3.0,65276.0,911.75,1215.0,1963.0,6037.0
213,2.0,3.0,758649.0,9278.74,1930.0,1927.0,6037.0
214,2.0,3.0,2715793.0,31517.01,1956.0,1927.0,6037.0
215,2.0,3.0,208369.0,2247.28,1372.0,1967.0,6111.0
216,1.0,2.0,380605.0,4166.66,1348.0,1951.0,6037.0
217,3.0,4.0,253993.0,3546.72,1555.0,1972.0,6037.0
218,2.0,2.0,754468.0,9150.68,1687.0,1920.0,6037.0
219,3.0,4.0,2100270.0,24460.03,2409.0,1927.0,6037.0
220,2.0,2.0,134364.0,1557.74,1824.0,1954.0,6037.0
221,1.0,4.0,389000.0,4907.53,1076.0,1956.0,6037.0
222,3.0,4.0,522875.0,6676.38,2709.0,1956.0,6037.0
223,2.0,3.0,417131.0,5011.92,1561.0,1959.0,6037.0
224,2.0,3.0,288933.0,3602.12,1192.0,1954.0,6037.0
225,2.0,3.0,388006.0,4912.38,1395.0,1951.0,6037.0
226,5.0,6.0,3681324.0,44772.63,6249.0,1924.0,6037.0
227,1.0,1.0,342000.0,4144.87,528.0,1929.0,6037.0
228,2.0,4.0,285867.0,3669.76,1425.0,1951.0,6037.0
229,1.0,2.0,506000.0,5991.38,1184.0,1950.0,6037.0
230,4.0,4.0,652684.0,8386.02,3031.0,1959.0,6037.0
231,2.0,3.0,47535.0,567.16,1068.0,1959.0,6111.0
232,1.0,2.0,63529.0,909.72,1246.0,1956.0,6037.0
233,2.5,3.0,564000.0,6605.26,1921.0,1989.0,6111.0
234,2.0,3.0,169738.0,2082.42,1128.0,1951.0,6037.0
235,2.0,3.0,334953.0,4118.8,1215.0,1968.0,6037.0
236,2.0,3.0,649101.0,7145.23,1583.0,1940.0,6037.0
237,2.5,3.0,410786.0,4859.58,1371.0,2012.0,6111.0
238,2.0,2.0,416283.0,5243.02,2010.0,1940.0,6037.0
239,2.0,4.0,337048.0,3994.22,1436.0,1964.0,6111.0
240,2.0,3.0,403856.0,4706.88,1194.0,1964.0,6111.0
241,2.0,3.0,255887.0,3244.38,1547.0,1956.0,6037.0
242,3.0,3.0,900430.0,11037.21,2287.0,1976.0,6037.0
243,4.0,5.0,507758.0,6592.66,4782.0,1929.0,6037.0
244,2.0,3.0,2181870.0,26331.31,2306.0,1959.0,6037.0
245,1.0,2.0,284270.0,3551.85,950.0,1954.0,6037.0
246,1.0,3.0,137491.0,1814.69,1056.0,1952.0,6037.0
247,1.0,3.0,41366.0,571.78,805.0,1952.0,6037.0
248,1.0,2.0,171648.0,2349.7,1108.0,1972.0,6111.0
249,2.0,3.0,397998.0,4047.48,1418.0,1973.0,6059.0
250,2.0,3.0,78030.0,1107.05,1410.0,1953.0,6037.0
251,2.5,4.0,561445.0,7464.02,1660.0,1989.0,6059.0
252,2.0,3.0,210496.0,2685.42,1313.0,1913.0,6037.0
253,3.0,3.0,409989.0,5103.52,1499.0,1988.0,6037.0
254,2.0,4.0,282832.0,3563.06,1422.0,1953.0,6037.0
255,2.0,3.0,528120.0,5656.2,1770.0,1961.0,6111.0
256,2.0,3.0,213246.0,2654.36,1257.0,1953.0,6037.0
257,2.0,3.0,274539.0,3452.46,1482.0,1977.0,6059.0
258,1.0,2.0,189320.0,2411.42,725.0,1950.0,6037.0
259,2.0,4.0,64712.0,781.0,1848.0,1952.0,6111.0
260,3.0,4.0,1066012.0,13114.53,2601.0,1969.0,6037.0
261,2.5,3.0,784633.0,8845.74,2053.0,2010.0,6111.0
262,3.0,3.0,1017322.0,11404.15,2160.0,1949.0,6037.0
263,3.0,4.0,1092550.0,12243.98,3316.0,1986.0,6037.0
264,2.0,3.0,918474.0,10348.0,1157.0,1960.0,6111.0
265,2.5,3.0,579707.0,6571.04,2004.0,2013.0,6111.0
266,3.0,4.0,470060.0,5826.95,1335.0,1950.0,6037.0
267,2.0,2.0,381638.0,4692.27,1430.0,1952.0,6037.0
268,3.0,4.0,461232.0,5563.18,2672.0,1942.0,6037.0
269,3.0,2.0,568508.0,7187.6,1723.0,1993.0,6059.0
270,2.0,3.0,372230.0,4355.01,1628.0,1954.0,6037.0
271,2.0,3.0,479000.0,12320.6,2037.0,1962.0,6111.0
272,2.0,3.0,591000.0,6863.14,1128.0,1963.0,6059.0
273,2.0,4.0,837386.0,9615.29,1714.0,1949.0,6037.0
274,3.0,5.0,534535.0,6744.08,2748.0,1965.0,6037.0
275,2.0,2.0,296969.0,4158.16,1018.0,1958.0,6037.0
276,1.0,2.0,288725.0,3602.79,882.0,1952.0,6037.0
277,2.0,3.0,297213.0,3393.84,2718.0,1947.0,6037.0
278,2.0,2.0,260055.0,3289.17,1274.0,1953.0,6037.0
279,1.0,2.0,423249.0,4998.58,1144.0,1959.0,6037.0
280,2.0,3.0,669406.0,7645.99,1821.0,1955.0,6037.0
281,2.5,4.0,69834.0,1112.86,1748.0,1968.0,6059.0
282,3.0,4.0,696000.0,7847.86,2474.0,2000.0,6111.0
283,2.0,4.0,79089.0,1277.68,1767.0,1953.0,6037.0
284,4.0,4.0,651462.0,7274.26,3186.0,1977.0,6059.0
285,2.0,3.0,392155.0,4824.27,1625.0,1950.0,6037.0
286,2.0,3.0,427300.0,5220.54,2090.0,1926.0,6037.0
287,1.0,1.0,188067.0,2357.43,784.0,1952.0,6037.0
288,2.0,2.0,195034.0,2821.34,1263.0,1949.0,6037.0
289,2.0,3.0,168328.0,2085.99,1134.0,1987.0,6037.0
290,2.0,4.0,280235.0,3794.04,1815.0,1955.0,6037.0
291,2.0,3.0,177864.0,2179.9,1463.0,1955.0,6037.0
292,2.0,3.0,823627.0,9548.52,2159.0,1962.0,6037.0
293,2.0,2.0,1647189.0,19835.11,2103.0,1963.0,6037.0
294,2.5,3.0,1024285.0,11347.62,1797.0,2007.0,6059.0
295,4.5,6.0,670951.0,7559.04,3523.0,1969.0,6059.0
296,2.0,3.0,468398.0,6380.86,1801.0,1972.0,6037.0
297,2.0,3.0,236776.0,2781.54,1440.0,1971.0,6059.0
298,2.0,3.0,72681.0,1490.38,1416.0,1961.0,6037.0
299,4.0,5.0,367029.0,4340.04,2672.0,1977.0,6037.0
300,4.0,5.0,1332579.0,15586.3,3155.0,1939.0,6037.0
301,2.0,4.0,124623.0,1633.19,1808.0,1940.0,6037.0
302,3.0,4.0,885472.0,10263.16,3443.0,1997.0,6059.0
303,4.0,3.0,227267.0,3023.68,2821.0,1978.0,6037.0
304,2.0,3.0,195421.0,2474.58,1097.0,1961.0,6111.0
305,2.0,3.0,72293.0,1053.98,1785.0,1966.0,6059.0
306,1.0,2.0,319803.0,4204.95,972.0,1920.0,6037.0
307,2.0,3.0,357429.0,4246.67,1635.0,1953.0,6037.0
308,1.0,3.0,336441.0,4253.64,1181.0,1895.0,6037.0
309,1.0,3.0,525000.0,6251.2,1210.0,1953.0,6037.0
310,1.0,2.0,330000.0,4454.17,966.0,1939.0,6037.0
311,1.0,2.0,214783.0,2862.12,1720.0,1952.0,6037.0
312,3.0,3.0,1089314.0,12817.65,1944.0,1952.0,6037.0
313,2.0,4.0,175276.0,3214.91,1666.0,1988.0,6037.0
314,3.0,3.0,430707.0,5311.27,1916.0,1954.0,6037.0
315,2.0,4.0,70365.0,1162.07,1464.0,1971.0,6037.0
316,2.0,4.0,639957.0,7687.15,1696.0,1941.0,6037.0
317,2.5,3.0,485230.0,5602.64,1718.0,1983.0,6059.0
318,2.0,3.0,85712.0,1303.83,1403.0,1956.0,6037.0
319,9.0,8.0,3350689.0,40688.11,8837.0,1951.0,6037.0
320,1.0,3.0,70720.0,1144.46,1066.0,1947.0,6037.0
321,2.0,3.0,474325.0,5484.5,1272.0,1963.0,6059.0
322,1.0,3.0,42966.0,1184.78,986.0,1953.0,6037.0
323,1.0,2.0,96558.0,1328.13,929.0,1947.0,6037.0
324,1.0,2.0,142945.0,1889.97,1058.0,1941.0,6037.0
325,3.0,4.0,114768.0,1513.74,2304.0,1964.0,6059.0
326,3.0,4.0,2537058.0,29687.85,2966.0,1930.0,6037.0
327,3.0,4.0,729964.0,8846.78,2453.0,1984.0,6037.0
328,2.5,3.0,790879.0,8848.38,1641.0,2000.0,6059.0
329,3.0,4.0,599000.0,7616.56,2170.0,1990.0,6037.0
330,2.0,2.0,155328.0,2608.09,1055.0,1989.0,6037.0
331,1.0,2.0,206164.0,2815.73,945.0,1949.0,6037.0
332,2.0,3.0,506000.0,6111.23,1110.0,1950.0,6037.0
333,1.0,2.0,36612.0,622.38,1010.0,1924.0,6037.0
334,3.5,4.0,526182.0,6804.8,2475.0,1987.0,6111.0
335,2.0,3.0,281851.0,3102.24,1141.0,1983.0,6111.0
336,2.0,3.0,420300.0,5690.45,1279.0,1984.0,6037.0
337,3.0,3.0,147617.0,2405.42,2910.0,1964.0,6037.0
338,2.0,4.0,474661.0,5753.28,1582.0,1958.0,6059.0
339,2.0,3.0,57736.0,1010.27,1125.0,1960.0,6037.0
340,1.0,2.0,229710.0,3757.73,1248.0,1948.0,6037.0
341,1.5,3.0,336581.0,4318.84,1256.0,1954.0,6059.0
342,2.0,4.0,749463.0,9249.57,2432.0,1940.0,6037.0
343,2.0,3.0,215125.0,2630.45,1285.0,1954.0,6037.0
344,3.0,5.0,358494.0,6392.05,2447.0,1970.0,6037.0
345,5.0,5.0,866566.0,10050.19,3791.0,1957.0,6037.0
346,2.0,2.0,870133.0,10418.51,1369.0,1951.0,6037.0
347,3.0,3.0,227816.0,3440.71,2449.0,1985.0,6037.0
348,2.0,4.0,311590.0,4199.63,2389.0,1975.0,6037.0
349,2.0,4.0,69536.0,1008.92,1477.0,1963.0,6059.0
350,2.0,4.0,71860.0,783.4,1500.0,1962.0,6111.0
351,4.5,5.0,2573126.0,27600.08,4677.0,2011.0,6111.0
352,6.0,5.0,3338605.0,35719.5,6611.0,2006.0,6111.0
353,2.0,3.0,64866.0,973.16,1190.0,1955.0,6059.0
354,2.0,4.0,52761.0,1001.69,1352.0,1955.0,6037.0
355,3.0,4.0,393953.0,4728.4,3179.0,1957.0,6037.0
356,3.0,3.0,154941.0,1951.1,1914.0,1954.0,6037.0
357,3.0,4.0,239900.0,3768.98,1852.0,1993.0,6037.0
358,2.0,4.0,91287.0,1451.3,2034.0,1956.0,6037.0
359,2.0,4.0,615000.0,7532.19,1897.0,1975.0,6037.0
360,3.0,5.0,198021.0,2693.55,2655.0,1954.0,6037.0
361,1.0,2.0,58966.0,891.99,868.0,1950.0,6037.0
362,4.0,4.0,3725000.0,39443.34,3321.0,1960.0,6059.0
363,3.0,5.0,379292.0,4446.46,2663.0,1981.0,6111.0
364,2.5,4.0,646706.0,7358.42,2743.0,1978.0,6059.0
365,2.0,3.0,300961.0,3717.86,1450.0,1964.0,6037.0
366,1.0,3.0,117672.0,1698.1,2020.0,1913.0,6037.0
367,2.0,3.0,1160000.0,14017.04,1099.0,1953.0,6037.0
368,2.5,4.0,83673.0,905.26,1844.0,1966.0,6111.0
369,2.0,3.0,147160.0,1947.54,1490.0,1953.0,6037.0
370,2.0,3.0,259512.0,3673.94,1533.0,1952.0,6037.0
371,6.0,7.0,1036230.0,12738.36,4874.0,1967.0,6037.0
372,2.0,3.0,454832.0,5694.0,1689.0,2014.0,6037.0
373,2.0,3.0,226877.0,3062.09,1120.0,1976.0,6037.0
374,2.5,3.0,809261.0,8764.1,2336.0,1980.0,6111.0
375,3.0,4.0,347440.0,4252.23,2208.0,1977.0,6037.0
376,2.0,3.0,431481.0,5097.32,1456.0,1923.0,6059.0
377,3.0,4.0,446745.0,5875.64,2155.0,1988.0,6037.0
378,3.0,4.0,727687.0,9305.7,2235.0,1989.0,6037.0
379,2.5,3.0,379778.0,4512.78,1630.0,1992.0,6059.0
380,3.0,3.0,107237.0,1665.89,2162.0,1933.0,6037.0
381,3.0,4.0,1055732.0,12093.33,2595.0,1968.0,6037.0
382,2.5,4.0,414681.0,4803.9,3062.0,1969.0,6059.0
383,2.0,3.0,366882.0,4778.24,1306.0,1958.0,6037.0
384,3.0,3.0,1352521.0,16196.41,3021.0,1952.0,6037.0
385,2.0,4.0,280000.0,3840.55,1168.0,1947.0,6037.0
386,2.0,3.0,81339.0,1217.19,1400.0,1955.0,6037.0
387,1.0,3.0,503000.0,6236.01,1210.0,1952.0,6037.0
388,2.0,3.0,94034.0,1377.5,1162.0,1972.0,6059.0
389,2.0,3.0,508000.0,6227.78,1231.0,1959.0,6059.0
390,2.0,3.0,500000.0,6052.03,1251.0,1952.0,6037.0
391,2.0,4.0,108886.0,1416.11,1624.0,1947.0,6037.0
392,8.0,7.0,6620375.0,79362.36,5906.0,1952.0,6037.0
393,2.0,3.0,339526.0,3660.9,1110.0,1962.0,6111.0
394,3.0,5.0,909178.0,11067.22,2271.0,1988.0,6037.0
395,2.0,2.0,119577.0,1502.78,1271.0,1955.0,6037.0
